popup_id	category_raw	category_code	priority_rank	ladder_label	note
PU0943	2	2	7	Cat. 2  and Cat. VR	
PU0944	2	2	7	Cat. 2  and Cat. VR	
PU0945	2	2	7	Cat. 2  and Cat. VR	
PU0946	2	2	7	Cat. 2  and Cat. VR	
PU0947	2	2	7	Cat. 2  and Cat. VR	
PU0948	2	2	7	Cat. 2  and Cat. VR	
PU0949	3	3	9	Cat. 3	
PU0950	2	2	7	Cat. 2  and Cat. VR	
PU0951	2	2	7	Cat. 2  and Cat. VR	
PU0952	2	2	7	Cat. 2  and Cat. VR	
PU0953	2	2	7	Cat. 2  and Cat. VR	
PU0954	2	2	7	Cat. 2  and Cat. VR	
PU0955	2	2	7	Cat. 2  and Cat. VR	
PU0956	2	2	7	Cat. 2  and Cat. VR	
PU0957	2	2	7	Cat. 2  and Cat. VR	
PU0958	2	2	7	Cat. 2  and Cat. VR	
PU0959	2	2	7	Cat. 2  and Cat. VR	
PU0960	2	2	7	Cat. 2  and Cat. VR	
PU0961	2	2	7	Cat. 2  and Cat. VR	
PU0962	2	2	7	Cat. 2  and Cat. VR	
PU0963	2	2	7	Cat. 2  and Cat. VR	
PU0964	2	2	7	Cat. 2  and Cat. VR	
PU0965	2	2	7	Cat. 2  and Cat. VR	
PU0966	2	2	7	Cat. 2  and Cat. VR	
PU0967	2	2	7	Cat. 2  and Cat. VR	
PU0968	2	2	7	Cat. 2  and Cat. VR	
PU0969	2	2	7	Cat. 2  and Cat. VR	
PU0970	2	2	7	Cat. 2  and Cat. VR	
PU0971	2	2	7	Cat. 2  and Cat. VR	
PU0972	RVC	RVC	1	RVC	
PU0973	2	2	7	Cat. 2  and Cat. VR	
PU0974	2	2	7	Cat. 2  and Cat. VR	
PU0975	2	2	7	Cat. 2  and Cat. VR	
PU0976	2	2	7	Cat. 2  and Cat. VR	
PU0977	2	2	7	Cat. 2  and Cat. VR	
PU0978	2	2	7	Cat. 2  and Cat. VR	
PU0979	2	2	7	Cat. 2  and Cat. VR	
PU0980	2	2	7	Cat. 2  and Cat. VR	
PU0981	2	2	7	Cat. 2  and Cat. VR	
PU0983	2	2	7	Cat. 2  and Cat. VR	
PU0984	2	2	7	Cat. 2  and Cat. VR	
PU0986	2	2	7	Cat. 2  and Cat. VR	
PU0998	2	2	7	Cat. 2  and Cat. VR	
PU1062	2	2	7	Cat. 2  and Cat. VR	
PU1089	2	2	7	Cat. 2  and Cat. VR	
PU1090	2	2	7	Cat. 2  and Cat. VR	
PU1091	2	2	7	Cat. 2  and Cat. VR	
PU1102	RVC-X	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU1103	RVC-X	UNRESOLVED	UNRESOLVED	UNRESOLVED	欄 5 之值非單一矩陣類別（複合／無類別）；解析規則未定（B19）
PU1104	2	2	7	Cat. 2  and Cat. VR	
PU1113	2	2	7	Cat. 2  and Cat. VR	
PU1146	2	2	7	Cat. 2  and Cat. VR	
PU1147	2	2	7	Cat. 2  and Cat. VR	
PU1148	2	2	7	Cat. 2  and Cat. VR	
PU1149	2	2	7	Cat. 2  and Cat. VR	
PU1150	2	2	7	Cat. 2  and Cat. VR	
PU1151	2	2	7	Cat. 2  and Cat. VR	
PU1152	2	2	7	Cat. 2  and Cat. VR	
PU1153	2	2	7	Cat. 2  and Cat. VR	
PU1154	2	2	7	Cat. 2  and Cat. VR	
PU1155	2	2	7	Cat. 2  and Cat. VR	
PU1156	2	2	7	Cat. 2  and Cat. VR	
PU1157	2	2	7	Cat. 2  and Cat. VR	
PU1158	2	2	7	Cat. 2  and Cat. VR	
PU1159	2	2	7	Cat. 2  and Cat. VR	
PU1188	RVC	RVC	1	RVC	
PU1192	2	2	7	Cat. 2  and Cat. VR	
PU1195	2	2	7	Cat. 2  and Cat. VR	
PU1196	2	2	7	Cat. 2  and Cat. VR	
PU1197	2	2	7	Cat. 2  and Cat. VR	
PU1198	2	2	7	Cat. 2  and Cat. VR	
PU1199	2	2	7	Cat. 2  and Cat. VR	
PU1200	2	2	7	Cat. 2  and Cat. VR	
PU1201	2	2	7	Cat. 2  and Cat. VR	
PU1202	2	2	7	Cat. 2  and Cat. VR	
PU1203	2	2	7	Cat. 2  and Cat. VR	
PU1204	2	2	7	Cat. 2  and Cat. VR	
PU1205	2	2	7	Cat. 2  and Cat. VR	
PU1206	2	2	7	Cat. 2  and Cat. VR	
PU1207	2	2	7	Cat. 2  and Cat. VR	
PU1208	3	3	9	Cat. 3	
PU1209	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1210	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1211	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1212	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1213	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1214	2	2	7	Cat. 2  and Cat. VR	
PU1215	2	2	7	Cat. 2  and Cat. VR	
PU1216	2	2	7	Cat. 2  and Cat. VR	
PU1217	2	2	7	Cat. 2  and Cat. VR	
PU1218	2	2	7	Cat. 2  and Cat. VR	
PU1219	2	2	7	Cat. 2  and Cat. VR	
PU1220	2	2	7	Cat. 2  and Cat. VR	
PU1221	2	2	7	Cat. 2  and Cat. VR	
PU1222	2	2	7	Cat. 2  and Cat. VR	
PU1223	2	2	7	Cat. 2  and Cat. VR	
PU1224	2	2	7	Cat. 2  and Cat. VR	
PU1225	2	2	7	Cat. 2  and Cat. VR	
PU1226	2	2	7	Cat. 2  and Cat. VR	
PU1227	2	2	7	Cat. 2  and Cat. VR	
PU1228	2	2	7	Cat. 2  and Cat. VR	
PU1229	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1230	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1231	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
PU1232	SL	SL	3	Cat. SL	PENDING: DR-DM2 Cat SL precedence
