# source	forms/Pop Up List HMI R1 (26PI).xlsx
# source_sha256	ff47b7be63e5824cafe35deda9f9ddd0a63f6ea458169ef73689a1c559ea13ea
# baseline	Main!A1 = SR24 Post 2A CR25802
# 母體	Main r3 起，A 欄 ^PU\d，逐列 = 1340
# 類別判準	a: C 欄 strip 後 ^\d+(\.\d+)?$ ／ b: D 欄含 outside（不分大小寫，子字串） ／ c: D|E|G 任一含 keyboard（同上）
# 一列可屬多類；class 欄以 + 併記
row	pu_id	module	timeout_sec	exit_conditions	string_60	class
594	PU0592	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  OK	"Please enter a valid email address", OK, X	b
595	PU0593	Personal Account/Driver Profiles	N/A	Touch outside of popup, X,  Save	"Choose a password for your Mopar account", Save, X	b
596	PU0594	Personal Account/Driver Profiles	N/A	Touch outside of popup, X,  OK	"Password must be at least 8 characters, alphanumeric.", OK,	b
597	PU0595	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  OK	"To save your updated Profile to the cloud, please enter you	b+c
598	PU0596	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  OK	"Incorrect password. Please try again", OK, X	b
599	PU0597	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  OK	"Your Profile has been saved to the cloud", OK, X	b
600	PU0598	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  OK	"To download your last saved Profile preferences from the cl	b+c
601	PU0600	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  Yes, Cancel	"Downloading your last saved Profile from the cloud will may	b
602	PU0601	Personal Account/Driver Profiles Connected Personal Account	5 seconds	Touch outside of popup, X	"Your Profile is being updated from the cloud", OK, X	b
603	PU0602	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  OK	"To disconnect this Profile from the Mopar account, please e	b+c
604	PU0603	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  Yes, Cancel	"Are you sure you want to disconnect this Profile from the M	b
605	PU0604	Personal Account/Driver Profiles Connected Personal Account	5 seconds	Touch outside of popup, X	"Your Profile has been disconnected from the cloud", X	b
606	PU0605	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  OK	"To delete this Profile from the cloud, please enter the pas	b+c
607	PU0606	Personal Account/Driver Profiles Connected Personal Account	N/A	Touch outside of popup, X,  Yes/Delete, Cancel	"Deleting this Profile from the cloud will delete it from ev	b
