row	json_tc_id	json_req_id	F_0907	D_0907	n_diff_vs_json	diff_cols_vs_json	diff_noncorpus_cols_vs_rowsort
290	NR1L-ComfortHMI-013	SWE1-HVAC-082-01	NR1L-ComfortHMI-280	SWE1-HVAC-082-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
291	NR1L-ComfortHMI-014	SWE1-HVAC-082-02	NR1L-ComfortHMI-281	SWE1-HVAC-082-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
292	NR1L-ComfortHMI-434	SWE1-HVAC-083	NR1L-ComfortHMI-282	SWE1-HVAC-083	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
293	NR1L-ComfortHMI-167	SWE1-HVAC-084	NR1L-ComfortHMI-283	SWE1-HVAC-084	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
294	NR1L-ComfortHMI-168	SWE1-HVAC-085	NR1L-ComfortHMI-284	SWE1-HVAC-085	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
295	NR1L-ComfortHMI-169	SWE1-HVAC-086-01	NR1L-ComfortHMI-285	SWE1-HVAC-086-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
296	NR1L-ComfortHMI-170	SWE1-HVAC-086-02	NR1L-ComfortHMI-286	SWE1-HVAC-086-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
297	NR1L-ComfortHMI-171	SWE1-HVAC-087-01	NR1L-ComfortHMI-287	SWE1-HVAC-087-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
298	NR1L-ComfortHMI-172	SWE1-HVAC-087-02	NR1L-ComfortHMI-288	SWE1-HVAC-087-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
299	NR1L-ComfortHMI-173	SWE1-HVAC-088	NR1L-ComfortHMI-289	SWE1-HVAC-088	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
300	NR1L-ComfortHMI-174	SWE1-HVAC-089	NR1L-ComfortHMI-290	SWE1-HVAC-089	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
301	NR1L-ComfortHMI-175	SWE1-HVAC-090-01	NR1L-ComfortHMI-291	SWE1-HVAC-090-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
302	NR1L-ComfortHMI-176	SWE1-HVAC-090-02	NR1L-ComfortHMI-292	SWE1-HVAC-090-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
303	NR1L-ComfortHMI-177	SWE1-HVAC-091	NR1L-ComfortHMI-293	SWE1-HVAC-091	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
304	NR1L-ComfortHMI-178	SWE1-HVAC-092	NR1L-ComfortHMI-294	SWE1-HVAC-092	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
305	NR1L-ComfortHMI-179	SWE1-HVAC-093	NR1L-ComfortHMI-295	SWE1-HVAC-093	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
306	NR1L-ComfortHMI-180	SWE1-HVAC-094	NR1L-ComfortHMI-296	SWE1-HVAC-094	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
307	NR1L-ComfortHMI-181	SWE1-HVAC-095-01	NR1L-ComfortHMI-297	SWE1-HVAC-095-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
308	NR1L-ComfortHMI-182	SWE1-HVAC-095-02	NR1L-ComfortHMI-298	SWE1-HVAC-095-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
309	NR1L-ComfortHMI-374	SWE1-HVAC-096-01	NR1L-ComfortHMI-299	SWE1-HVAC-096-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
310	NR1L-ComfortHMI-375	SWE1-HVAC-096-02	NR1L-ComfortHMI-300	SWE1-HVAC-096-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
311	NR1L-ComfortHMI-376	SWE1-HVAC-096-03	NR1L-ComfortHMI-301	SWE1-HVAC-096-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
312	NR1L-ComfortHMI-183	SWE1-HVAC-097	NR1L-ComfortHMI-302	SWE1-HVAC-097	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
