old_tc_id	new_tc_id	changed_cols	reason
NR1L-PowerManagement-330		nav	X-nav
NR1L-PowerManagement-331		nav	X-nav
NR1L-PowerManagement-332		nav	X-nav
NR1L-PowerManagement-333		nav	X-nav
NR1L-PowerManagement-334		nav	X-nav
NR1L-PowerManagement-335		nav	X-nav
NR1L-PowerManagement-336		nav	X-nav
NR1L-PowerManagement-337		nav	X-nav
NR1L-PowerManagement-338		nav	X-nav
NR1L-PowerManagement-339		12,13,nav	P-v3→v4:bare；X-nav
NR1L-PowerManagement-347		nav	X-nav
NR1L-PowerManagement-348		nav	X-nav
NR1L-PowerManagement-352		nav	X-nav
NR1L-PowerManagement-353		nav	X-nav
NR1L-PowerManagement-354		nav	X-nav
NR1L-PowerManagement-355		nav	X-nav
NR1L-PowerManagement-356		nav	X-nav
NR1L-PowerManagement-357		nav	X-nav
NR1L-PowerManagement-358		nav	X-nav
NR1L-PowerManagement-359		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-360		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-361		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-362		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-363		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-364		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-365		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-366		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-367		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-368		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-369		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-370		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-371		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-372		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-373		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-374		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-375		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-376		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-377		nav	X-nav
NR1L-PowerManagement-378		nav	X-nav
NR1L-PowerManagement-379		nav	X-nav
NR1L-PowerManagement-380		nav	X-nav
NR1L-PowerManagement-381		nav	X-nav
NR1L-PowerManagement-385		nav	X-nav
NR1L-PowerManagement-386		nav	X-nav
NR1L-PowerManagement-388		nav	X-nav
NR1L-PowerManagement-389		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
