leaf	cfts	chapter_num	chapter_title	hit_count	item_ids	tokens
SWE-PM-106	009	1.9.9	Splash and disclaimer screen	1	4941955	Sys-RA-PM-0285
SWE-PM-107	009	1.9.9	Splash and disclaimer screen	1	4941956	Sys-RA-PM-0286
SWE-PM-108	009	1.9.9	Splash and disclaimer screen	1	4941958	Sys-RA-PM-0287
SWE-PM-109	009	1.9.9	Splash and disclaimer screen	1	4941962	Sys-RA-PM-0288
SWE-PM-110	009	1.9.9	Splash and disclaimer screen	1	4941963	Sys-RA-PM-0289
SWE-PM-111	009	1.9.9	Splash and disclaimer screen	1	4941964	Sys-RA-PM-0290
SWE-PM-112	009	1.9.9	Splash and disclaimer screen	1	4941967	Sys-RA-PM-0293
SWE-PM-113	009	1.9.9	Splash and disclaimer screen	1	4941968	Sys-RA-PM-0294
SWE-PM-114	009	1.9.4	IDLE MODE	1	4941876	Sys-RA-PM-0264
SWE-PM-115	009	1.9.4	IDLE MODE	1	4941878	Sys-RA-PM-0266
