tc_id	req_id	outline	score	sent_idx	clause_verbatim
NR1L-ComfortHMI-149	SWE1-HVAC-015-01	2.11	1.00	0	C12.) SYNC has on/ off state that is indicated on climate screen (highlight button if SYNC).
NR1L-ComfortHMI-150	SWE1-HVAC-015-02	2.11	1.00	3	When SYNC is on, changing the driver temperature automatically changes the passenger temperature.
NR1L-ComfortHMI-151	SWE1-HVAC-015-03	2.11	1.00	4	Adjusting the passenger temperature via touchscreen or hard control would break SYNC.
NR1L-ComfortHMI-430	SWE1-HVAC-015-04	2.11	1.00	5	Adjusting Fan speed and Mode will alter the Front and Rear passengers.
NR1L-ComfortHMI-431	SWE1-HVAC-015-05	2.11	1.00	6	If the rear fan speed, mode, or temp are adjust from either the touchscreen or rear climate controls will break SYNC and turn it off.
NR1L-ComfortHMI-440	SWE1-HVAC-016-01	2.12	1.00	1	ON state for the four airflow modes is shown by highlighting the button and increasing button size.
NR1L-ComfortHMI-441	SWE1-HVAC-016-01	2.12	1.00	1	ON state for the four airflow modes is shown by highlighting the button and increasing button size.
NR1L-ComfortHMI-442	SWE1-HVAC-016-01	2.12	1.00	1	ON state for the four airflow modes is shown by highlighting the button and increasing button size.
NR1L-ComfortHMI-443	SWE1-HVAC-016-01	2.12	1.00	1	ON state for the four airflow modes is shown by highlighting the button and increasing button size.
NR1L-ComfortHMI-444	SWE1-HVAC-016-02	2.12	1.00	2	The main category control will display the newly selected airflow mode inside the fan space.
NR1L-ComfortHMI-445	SWE1-HVAC-016-03	2.12	1.00	3	Only one airflow mode can be selected at a time.
NR1L-ComfortHMI-163	SWE1-HVAC-017-01	2.12.1	1.00	0	C13.0) In some non-tri mode equipment types, airflow modes has 5 states (1.Face, 2.Mix of Face & Feet, 3.Feet, 4.Mix of Feet & Windshield, 5. Windshield).
NR1L-ComfortHMI-164	SWE1-HVAC-017-02	2.12.1	1.00	0	C13.0) In some non-tri mode equipment types, airflow modes has 5 states (1.Face, 2.Mix of Face & Feet, 3.Feet, 4.Mix of Feet & Windshield, 5. Windshield).
NR1L-ComfortHMI-446	SWE1-HVAC-018-01	2.12.2	0.67	0	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.
NR1L-ComfortHMI-447	SWE1-HVAC-018-01	2.12.2	0.67	0	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.
NR1L-ComfortHMI-448	SWE1-HVAC-018-01	2.12.2	0.67	0	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.
NR1L-ComfortHMI-449	SWE1-HVAC-018-01	2.12.2	0.67	0	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.
NR1L-ComfortHMI-450	SWE1-HVAC-018-01	2.12.2	0.67	0	C13.1) If the Mode hard control is pressed the user will be moved to the next mode available in the loop (Face > Face/Feet > Feet > Feet plus Windshield > then repeat loop.
NR1L-ComfortHMI-451	SWE1-HVAC-018-02	2.12.2	1.00	1	Defrost will not be included in the loop) press and hold of the control will only move one mode over, it will not continue to move through modes.
NR1L-ComfortHMI-452	SWE1-HVAC-018-03	2.12.2	1.00	2	When the Mode hard control is pressed, if the user is on Climate main the new mode button will be shown highlighted.
NR1L-ComfortHMI-453	SWE1-HVAC-018-04	2.12.2	1.00	3	If the user is not on Climate main when pressing the Mode hard control a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.
NR1L-ComfortHMI-454	SWE1-HVAC-018-04	2.12.2	1.00	3	If the user is not on Climate main when pressing the Mode hard control a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.
NR1L-ComfortHMI-455	SWE1-HVAC-018-04	2.12.2	1.00	3	If the user is not on Climate main when pressing the Mode hard control a small pop-up will appear above the Climate main category control (timeout after 3 seconds of inactivity or as soon as another button except Mode HC is pressed), the user will not be shifted to climate main.
NR1L-ComfortHMI-456	SWE1-HVAC-018-05	2.12.2	1.00	4	In both cases the main category label will be updated.
