leaf_id	layer2	layer3	writable	delegate	generatable	stable_core	blocked_layer	blocked_ref	blocker
SWE1-VC-StopStartSystemBehavior-055	Common Features	StopStartSystemBehavior	yes	no	yes	yes			
SWE1-VC-StopStartSystemBehavior-056	Common Features	StopStartSystemBehavior	yes	no	yes	yes			
SWE1-VC-SwitchLHD/RHDConfiguration-009	Common Features	SwitchLHD/RHDConfiguration	yes	no	yes	yes			
SWE1-VC-SwitchLHD/RHDConfiguration-010	Common Features	SwitchLHD/RHDConfiguration	no	no	no	no			writable=B1|B2
SWE1-VC-SwitchLHD/RHDConfiguration-011	Common Features	SwitchLHD/RHDConfiguration	yes	no	yes	yes			
SWE1-VC-SwitchLHD/RHDConfiguration-012	Common Features	SwitchLHD/RHDConfiguration	yes	no	yes	yes			
SWE1-VC-SwitchLHD/RHDConfiguration-013	Common Features	SwitchLHD/RHDConfiguration	no	no	no	no			writable=B1|B2
SWE1-VC-SwitchLHD/RHDConfiguration-014	Common Features	SwitchLHD/RHDConfiguration	yes	no	yes	yes			
SWE1-VC-ThirdRowHeadrestDump-025	Common Features	ThirdRowHeadrestDump	yes	no	yes	yes			
SWE1-VC-ThirdRowHeadrestDump-026	Common Features	ThirdRowHeadrestDump	yes	no	yes	yes			
SWE1-VC-ThirdRowHeadrestDump-027	Common Features	ThirdRowHeadrestDump	yes	no	yes	yes			
SWE1-VC-ThirdRowHeadrestDump-028	Common Features	ThirdRowHeadrestDump	no	no	no	no			writable=B3
