source	kind	target	line_sha8	line	reason
features/projection/docs/handoff/21_canon_s8_and_charter.md	section	§7.2	36f489a0	4	historical-record
features/projection/docs/handoff/21_canon_s8_and_charter.md	section	§7	7385e11a	50	historical-record
features/projection/docs/handoff/21_canon_s8_and_charter.md	section	§8	69742df4	59	historical-record
features/projection/docs/handoff/22_rp99_and_git.md	section	§8.7	a6b4bae0	69	historical-record
features/projection/docs/reports/dryrun_report.md	section	§5	faab0df7	113	active-backlog
features/projection/docs/reports/dryrun_report.md	section	§6	b291cfc0	211	active-backlog
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§8	6a500aa7	1	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§8	6a2653e2	18	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§8.2	8c22e435	20	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	item	§5 第2	b8b5f017	121	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§8	b8b5f017	121	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§0.27	7816448f	174	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§3	c443966b	233	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§8	c3b2bc96	242	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§8	42e22e39	297	historical-record
features/projection/docs/upstream/21_canon_s8_and_charter.md	section	§8	66185676	327	historical-record
features/projection/docs/upstream/22_rp99_and_git.md	section	§8.7	81000bdd	65	historical-record
features/projection/docs/upstream/22_rp99_and_git.md	section	§8.7	08b899d4	404	historical-record
features/projection/feature.yaml	section	§2	9ffba63c	6	active-backlog
features/projection/feature.yaml	section	§2	fe48b7d0	227	active-backlog
features/sxm/DECISIONS.md	section	§4	78311584	3	active-backlog
features/sxm/PLAYBOOK.md	section	§0	c890e78b	14	active-backlog
features/sxm/PLAYBOOK.md	section	§0	b9fdccd5	77	active-backlog
features/sxm/PLAYBOOK.md	section	§6	e5e4db78	99	active-backlog
features/sxm/PLAYBOOK.md	section	§5	67bb1c6e	148	active-backlog
features/sxm/RUNBOOK.md	section	§3	d993103a	17	active-backlog
features/sxm/feature.yaml	section	§2	a5b076e9	135	active-backlog
features/time_management/DECISIONS.md	section	§4	78311584	3	active-backlog
features/time_management/PLAYBOOK.md	section	§0	b9fdccd5	53	active-backlog
features/time_management/PLAYBOOK.md	section	§6	e5e4db78	75	active-backlog
features/time_management/PLAYBOOK.md	section	§5	67bb1c6e	124	active-backlog
features/time_management/RUNBOOK.md	section	§3	d993103a	9	active-backlog
features/time_management/docs/handoff/00Z_closure.md	section	§3.3	a2d99593	100	historical-record
features/time_management/docs/handoff/01R_review_of_upstream.md	section	§0	0f32fb1b	170	historical-record
features/time_management/docs/handoff/01_recon.md	section	§0	8f21067c	126	historical-record
features/time_management/docs/handoff/04Z-A2_backend_review.md	section	§6.5	a458f6ef	191	historical-record
features/time_management/docs/handoff/05Z_canon_adoption.md	section	§2	f30e0a14	6	historical-record
features/time_management/docs/handoff/05Z_canon_adoption.md	section	§2	eeaf4231	159	historical-record
features/time_management/docs/handoff/05Z_canon_adoption.md	section	§2	0bfd97f2	305	historical-record
features/time_management/docs/handoff/08_style.md	section	§6	e9ae73d1	183	historical-record
features/time_management/docs/handoff/22_sys3.md	section	§8.2	268afd5d	93	historical-record
features/time_management/docs/handoff/22_sys3.md	section	§8.2	669117e0	171	historical-record
features/time_management/docs/handoff/23_sys3_result.md	section	§8.2	7ec6d999	95	historical-record
features/time_management/docs/handoff/23_sys3_result.md	section	§8.2	279f7234	160	historical-record
features/time_management/docs/handoff/23_sys3_result.md	section	§8.2	6a13ec96	174	historical-record
features/time_management/docs/upstream/01_recon.md	section	§0	57d18ea3	248	historical-record
features/time_management/docs/upstream/04Z-A5_corrections.md	section	§3.2	0f786cc3	75	historical-record
features/time_management/docs/upstream/05Z_corrections.md	section	§2.3	f8dc8398	201	historical-record
features/time_management/feature.yaml	section	§3	40e5a546	15	active-backlog
features/time_management/scripts/write_back.py	section	§2	e49aabe9	31	active-backlog
features/time_management/scripts/write_back.py	section	§2	d3a876f0	255	active-backlog
features/user_profiles/ANOMALIES.md	section	§0	32650936	83	active-backlog
features/user_profiles/ANOMALIES.md	section	§8.5	85545651	203	active-backlog
features/user_profiles/DECISIONS.md	section	§4	78311584	3	active-backlog
features/user_profiles/PLAYBOOK.md	section	§0	b9fdccd5	53	active-backlog
features/user_profiles/PLAYBOOK.md	section	§6	e5e4db78	75	active-backlog
features/user_profiles/PLAYBOOK.md	section	§5	67bb1c6e	124	active-backlog
features/user_profiles/docs/INDEX.md	section	§9	b6d34e25	21	active-backlog
features/user_profiles/docs/INDEX.md	section	§9	c7a17cec	1285	active-backlog
features/user_profiles/docs/handoff/55_test_item_two_parts.md	section	§1	0cdcec4d	30	historical-record
features/user_profiles/docs/upstream/01_intake.md	item	§8.5 第2	61399165	220	historical-record
features/user_profiles/docs/upstream/01_intake.md	section	§8.3	6cc80afc	388	historical-record
features/user_profiles/docs/upstream/01_intake.md	section	§4	6ee36263	490	historical-record
features/user_profiles/docs/upstream/01_intake.md	section	§8.3	519fbb6c	567	historical-record
features/user_profiles/docs/upstream/01_intake.md	item	§8.5 第2	9dc203a0	624	historical-record
features/user_profiles/docs/upstream/02_rulings_execution.md	section	§3	eac774f4	244	historical-record
features/user_profiles/docs/upstream/09_ruling_consolidation.md	section	§9	2a71268c	14	historical-record
features/user_profiles/docs/upstream/09_ruling_consolidation.md	section	§9	02744ccc	41	historical-record
features/user_profiles/docs/upstream/09_ruling_consolidation.md	section	§9	a5a8e987	172	historical-record
features/user_profiles/docs/upstream/09_ruling_consolidation.md	item	§5 第1	cd6db19a	214	historical-record
features/user_profiles/docs/upstream/09_ruling_consolidation.md	section	§9	cd6db19a	214	historical-record
features/user_profiles/docs/upstream/13_pilot_generated.md	section	§7	d1211f21	223	historical-record
features/user_profiles/docs/upstream/13_pilot_generated.md	section	§7	e0131785	234	historical-record
features/user_profiles/docs/upstream/14_pilot_fixes.md	section	§9	7194961c	317	historical-record
features/user_profiles/docs/upstream/18_batch02_sample.md	section	§7	e54816d1	27	historical-record
features/user_profiles/docs/upstream/18_batch02_sample.md	section	§7	ba72c9f0	94	historical-record
features/user_profiles/docs/upstream/58_field_junction_matrix.md	section	§9	8a9929e9	75	historical-record
features/user_profiles/scripts/lint_tcs.py	section	§6	d472e823	20	active-backlog
features/vehicle_setting/DATA_REQUESTS.md	section	§9	992a1734	392	active-backlog
features/vehicle_setting/DECISIONS.md	section	§4	78311584	3	active-backlog
features/vehicle_setting/PLAYBOOK.md	section	§0	b9fdccd5	53	active-backlog
features/vehicle_setting/PLAYBOOK.md	section	§6	e5e4db78	75	active-backlog
features/vehicle_setting/PLAYBOOK.md	section	§5	67bb1c6e	124	active-backlog
features/vehicle_setting/RUNBOOK.md	section	§3	d993103a	9	active-backlog
