# R-G22′ 遷移對照（下放包 57 T69a）：既有引用之 sha8 為舊式（含成因段），改制後 R-G13 之比對一律用 body_sha8。`same=Y` 者其引用不受影響。
ruling_id	old_sha8	new_body_sha8	same	body_kind	source
R-DD20	00912428	5e852162	N	fenced	features/driver_distraction/RULINGS.md
R-DD20	5ae8694f	3795fa90	N	fenced	features/driver_distraction/RULINGS.md
R-DD21	e11b023f	06e2bff3	N	fenced	features/driver_distraction/RULINGS.md
R-DD22	9c0ef625	2448d9a5	N	fenced	features/driver_distraction/RULINGS.md
R-DD23	aab3104b	87a3b66f	N	fenced	features/driver_distraction/RULINGS.md
R-DD25	458e5406	916fc784	N	fenced	features/driver_distraction/RULINGS.md
R-DD20	1f2aef6d	66974a74	N	fenced	features/driver_distraction/RULINGS.md
R-DD24	8fcae198	c51ccd33	N	fenced	features/driver_distraction/RULINGS.md
R-DD26	ba96c30f	3c0f7f5c	N	fenced	features/driver_distraction/RULINGS.md
R-DD26	781a0030	f408d36b	N	fenced	features/driver_distraction/RULINGS.md
R-DD27	f06ec1f1	bb3ca13d	N	fenced	features/driver_distraction/RULINGS.md
R-ICS1	3e48552b	177a65bf	N	fenced	features/ics_management/RULINGS.md
R-ICS2	4a8819f0	aef60e2d	N	fenced	features/ics_management/RULINGS.md
R-ICS3	b10318e0	2ed74be3	N	fenced	features/ics_management/RULINGS.md
R-ICS4	85de9871	2734f04d	N	fenced	features/ics_management/RULINGS.md
R-ICS5	e6a4790d	9bd80475	N	fenced	features/ics_management/RULINGS.md
R-ICS6	77478a91	faee1e79	N	fenced	features/ics_management/RULINGS.md
R-ICS7	2c51cc80	79a373a2	N	fenced	features/ics_management/RULINGS.md
R-ICS8	bf473e9c	1269b23c	N	fenced	features/ics_management/RULINGS.md
R-ICS9	7e7aa921	acc11f29	N	fenced	features/ics_management/RULINGS.md
R-ICS10	a2cda337	e423bfe2	N	fenced	features/ics_management/RULINGS.md
R-ICS11	e16c88e3	d696f280	N	fenced	features/ics_management/RULINGS.md
R-ICS12	558acc83	a1dedc23	N	fenced	features/ics_management/RULINGS.md
R-ICS13	273e1dbb	b5193392	N	fenced	features/ics_management/RULINGS.md
R-ICS2	b6ddfe90	88af383a	N	fenced	features/ics_management/RULINGS.md
R-ICS14	6f9e4686	5f3bf2bd	N	fenced	features/ics_management/RULINGS.md
R-ICS15	545928c0	114c8126	N	fenced	features/ics_management/RULINGS.md
R-ICS16	4d0eb301	a29ed0c9	N	fenced	features/ics_management/RULINGS.md
R-ICS17	ed8d8f0c	8171753b	N	fenced	features/ics_management/RULINGS.md
R-ICS18	ab6dc8ea	5de22317	N	fenced	features/ics_management/RULINGS.md
R-ICS19	da2cf229	ac9404d2	N	fenced	features/ics_management/RULINGS.md
R-ICS20	b0e7170f	709984d6	N	fenced	features/ics_management/RULINGS.md
R-ICS21	bf7ae107	3d49e873	N	fenced	features/ics_management/RULINGS.md
R-ICS22	f833c29d	ba28c4dd	N	fenced	features/ics_management/RULINGS.md
R-ICS23	d8d41b4a	8902f24c	N	fenced	features/ics_management/RULINGS.md
R-ICS22	acfaff43	36d68163	N	fenced	features/ics_management/RULINGS.md
R-ICS24	2cf6622a	52f5479b	N	fenced	features/ics_management/RULINGS.md
R-ICS25	a531cfe6	740e8ea3	N	fenced	features/ics_management/RULINGS.md
R-ICS23	997ae0ba	5b2bb24c	N	fenced	features/ics_management/RULINGS.md
R-ICS26	f282ce2d	05b7d0f1	N	fenced	features/ics_management/RULINGS.md
R-ICS27	8e301377	8cb43420	N	fenced	features/ics_management/RULINGS.md
R-ICS28	4857e29c	01be17fe	N	fenced	features/ics_management/RULINGS.md
R-ICS29	ff733567	cbdabc30	N	fenced	features/ics_management/RULINGS.md
R-ICS30	ac7b99ef	73691e8a	N	fenced	features/ics_management/RULINGS.md
R-ICS19	ae2d0f03	d3b466ca	N	fenced	features/ics_management/RULINGS.md
R-ICS25	ce26c27e	618ec595	N	fenced	features/ics_management/RULINGS.md
R-ICS31	cc165364	a0e2b115	N	fenced	features/ics_management/RULINGS.md
R-ICS32	0448999e	7cb241a9	N	fenced	features/ics_management/RULINGS.md
R-ICS33	bd35bba0	0f2b43f2	N	fenced	features/ics_management/RULINGS.md
R-ICS33	32e067cc	2aec1076	N	fenced	features/ics_management/RULINGS.md
R-ICS34	90e511f8	d89393b7	N	fenced	features/ics_management/RULINGS.md
R-ICS35	3bc16777	613c967b	N	fenced	features/ics_management/RULINGS.md
R-ICS35	dbfc78bc	079b2247	N	fenced	features/ics_management/RULINGS.md
R-ICS36	88bd5367	9a925bdf	N	fenced	features/ics_management/RULINGS.md
R-ICS37	45b747a3	91881af7	N	fenced	features/ics_management/RULINGS.md
R-ICS38	9867f4ba	782f3a43	N	fenced	features/ics_management/RULINGS.md
R-ICS39	96b3ae9e	a6104627	N	fenced	features/ics_management/RULINGS.md
R-ICS40	81b4b1d0	f09863da	N	fenced	features/ics_management/RULINGS.md
R-ICS41	07321dee	edc07b7d	N	fenced	features/ics_management/RULINGS.md
R-ICS42	4205da56	ad18d719	N	fenced	features/ics_management/RULINGS.md
R-ICS43	f612de47	51617ee7	N	fenced	features/ics_management/RULINGS.md
R-POP1	61145b5f	61145b5f	Y	section	features/popup/RULINGS.md
R-POP2	93a0e937	93a0e937	Y	section	features/popup/RULINGS.md
R-POP3	6f6a3531	6f6a3531	Y	section	features/popup/RULINGS.md
R-POP4	1555a8f1	1555a8f1	Y	section	features/popup/RULINGS.md
R-POP5	a6816cb1	a6816cb1	Y	section	features/popup/RULINGS.md
R-POP6	66f64b48	66f64b48	Y	section	features/popup/RULINGS.md
R-POP7	f6d6e22c	f6d6e22c	Y	section	features/popup/RULINGS.md
R-POP8	7425f059	7425f059	Y	section	features/popup/RULINGS.md
R-POP9	a899c245	a899c245	Y	section	features/popup/RULINGS.md
R-POP10	a2237932	a2237932	Y	section	features/popup/RULINGS.md
R-POP11	a6b5301b	a6b5301b	Y	section	features/popup/RULINGS.md
R-POP12	e323360d	e323360d	Y	section	features/popup/RULINGS.md
R-POP13	89306542	89306542	Y	section	features/popup/RULINGS.md
R-POP14	e025ab99	e025ab99	Y	section	features/popup/RULINGS.md
R-POP15	2c712b56	2c712b56	Y	section	features/popup/RULINGS.md
R-POP16	36e1ed0a	36e1ed0a	Y	section	features/popup/RULINGS.md
R-POP17	7b7868ec	7b7868ec	Y	section	features/popup/RULINGS.md
R-POP18	bfbb3167	bfbb3167	Y	section	features/popup/RULINGS.md
R-POP19	5d9764bc	5d9764bc	Y	section	features/popup/RULINGS.md
R-POP20	2894aa0c	2894aa0c	Y	section	features/popup/RULINGS.md
R-POP21	bd4637b8	bd4637b8	Y	section	features/popup/RULINGS.md
R-POP22	1bb746f6	1bb746f6	Y	section	features/popup/RULINGS.md
R-POP23	c5655c80	c5655c80	Y	section	features/popup/RULINGS.md
R-POP24	e362b2b6	e362b2b6	Y	section	features/popup/RULINGS.md
R-POP25	ec88e973	ec88e973	Y	section	features/popup/RULINGS.md
R-POP26	5b4d55fe	5b4d55fe	Y	section	features/popup/RULINGS.md
R-PMH1	9cca6b1e	468fc431	N	fenced	features/power_moding/RULINGS.md
R-PMH2	d0cdeeb4	19f57d23	N	fenced	features/power_moding/RULINGS.md
R-PMH3	b41bd8c6	84acd49a	N	fenced	features/power_moding/RULINGS.md
R-PMH4	6556777f	04d87eb1	N	fenced	features/power_moding/RULINGS.md
R-PMH5	70f149bd	e589281f	N	fenced	features/power_moding/RULINGS.md
R-PMH6	a54c3a1a	5bb6ebe3	N	fenced	features/power_moding/RULINGS.md
R-PMH7	094734d4	78b740e4	N	fenced	features/power_moding/RULINGS.md
R-PMH8	4ee6df13	533aac08	N	fenced	features/power_moding/RULINGS.md
R-PMH9	feb49039	e3212132	N	fenced	features/power_moding/RULINGS.md
R-PMH10	69cfddb6	88507096	N	fenced	features/power_moding/RULINGS.md
R-PMH11	e6b55703	bbba2810	N	fenced	features/power_moding/RULINGS.md
R-PMH12	03ccd4b7	e56341f8	N	fenced	features/power_moding/RULINGS.md
R-PMH13	ffd3bb5a	6e163ef2	N	fenced	features/power_moding/RULINGS.md
R-PMH14	4a2763de	6d4b62ec	N	fenced	features/power_moding/RULINGS.md
R-PMH15	e8bd8304	8c7e1e91	N	fenced	features/power_moding/RULINGS.md
R-PMH13	3b18336f	5c2d8191	N	fenced	features/power_moding/RULINGS.md
R-PMH16	e12a59e9	b5c1dca6	N	fenced	features/power_moding/RULINGS.md
R-PMH17	7e218fd0	8d9e3459	N	fenced	features/power_moding/RULINGS.md
R-PMH18	8479ca4c	8ec7e2b9	N	fenced	features/power_moding/RULINGS.md
R-PMH19	e2acb9d5	cbdeed8b	N	fenced	features/power_moding/RULINGS.md
R-PMH20	1f0bfeb8	786c9662	N	fenced	features/power_moding/RULINGS.md
R-PMH21	d1feb52b	7224a212	N	fenced	features/power_moding/RULINGS.md
R-PMH22	3dda421e	c9930caa	N	fenced	features/power_moding/RULINGS.md
R-PMH23	8f2dba0d	70982925	N	fenced	features/power_moding/RULINGS.md
R-PMH24	73a75543	9f02fc8a	N	fenced	features/power_moding/RULINGS.md
R-PMH25	912a7f02	37324b2c	N	fenced	features/power_moding/RULINGS.md
R-PMH26	b82632b5	94a9c442	N	fenced	features/power_moding/RULINGS.md
R-PMH27	24c9aed6	e6e14fc0	N	fenced	features/power_moding/RULINGS.md
R-PMH28	cf3ce0dc	42020936	N	fenced	features/power_moding/RULINGS.md
R-PMH29	4227c3c5	9d97e3ad	N	fenced	features/power_moding/RULINGS.md
R-PMH30	1019c307	a1af9062	N	fenced	features/power_moding/RULINGS.md
R-PMH31	a5198224	3140f623	N	fenced	features/power_moding/RULINGS.md
R-PMH32	ef0f3bd2	3f3db769	N	fenced	features/power_moding/RULINGS.md
R-PMH33	deea5f5a	3b2fe5dc	N	fenced	features/power_moding/RULINGS.md
R-PMH34	02fd3615	3e895648	N	fenced	features/power_moding/RULINGS.md
R-PMH35	28832497	369e0e4c	N	fenced	features/power_moding/RULINGS.md
R-PMH36	bdd0044c	eacfc324	N	fenced	features/power_moding/RULINGS.md
R-PMH37	bd688c0a	5467892a	N	fenced	features/power_moding/RULINGS.md
R-PMH38	4223e50e	a5fccf32	N	fenced	features/power_moding/RULINGS.md
R-PMH39	1b7b1513	5d733393	N	fenced	features/power_moding/RULINGS.md
R-PMH40	e3dd0a0b	c0a3a3cb	N	fenced	features/power_moding/RULINGS.md
R-PMH41	1874e7ba	6f9b2f39	N	fenced	features/power_moding/RULINGS.md
R-PMH42	20767631	0f85f960	N	fenced	features/power_moding/RULINGS.md
R-PMH43	110c3909	bfa28d41	N	fenced	features/power_moding/RULINGS.md
R-PMH44	28edc0df	91b85993	N	fenced	features/power_moding/RULINGS.md
R-PMH45	a2fbe3fd	eb951180	N	fenced	features/power_moding/RULINGS.md
R-PMH46	7926c9f8	3c12ee5e	N	fenced	features/power_moding/RULINGS.md
R-PMH47	bdb0be32	391b3931	N	fenced	features/power_moding/RULINGS.md
R-PMH48	ed6500d9	46273e8c	N	fenced	features/power_moding/RULINGS.md
R-PMH49	43b6afe7	40433718	N	fenced	features/power_moding/RULINGS.md
R-PMH50	8f849b85	879f7421	N	fenced	features/power_moding/RULINGS.md
R-PMH51	ccbd9934	55d75bee	N	fenced	features/power_moding/RULINGS.md
R-PMH52	468f856c	5abf94f6	N	fenced	features/power_moding/RULINGS.md
R-PMH53	af7cb5ad	8520b02b	N	fenced	features/power_moding/RULINGS.md
R-PMH54	5b146842	96653ba4	N	fenced	features/power_moding/RULINGS.md
R-PMH55	649dc45b	2ed40ce7	N	fenced	features/power_moding/RULINGS.md
R-PMH56	c3ef2e97	68cd3f77	N	fenced	features/power_moding/RULINGS.md
R-PMH57	e749ed80	24d72272	N	fenced	features/power_moding/RULINGS.md
R-PMH58	794a28ae	5ab30592	N	fenced	features/power_moding/RULINGS.md
R-PMH59	ef8039e9	a9556776	N	fenced	features/power_moding/RULINGS.md
R-PMH60	dc622b01	903b6b94	N	fenced	features/power_moding/RULINGS.md
R-PMH61	3695368d	6e47d9e9	N	fenced	features/power_moding/RULINGS.md
R-PMH62	8921468c	e52b305c	N	fenced	features/power_moding/RULINGS.md
R-PMH63	aef5f58e	65ec9bce	N	fenced	features/power_moding/RULINGS.md
R-PMH64	4311cd8e	36871938	N	fenced	features/power_moding/RULINGS.md
R-PMH65	fc943599	d6dd025a	N	fenced	features/power_moding/RULINGS.md
R-PMH66	bd527c9f	a9ed6865	N	fenced	features/power_moding/RULINGS.md
R-PMH67	a03125ee	8effc16c	N	fenced	features/power_moding/RULINGS.md
R-PMH68	6804a75a	88c540f9	N	fenced	features/power_moding/RULINGS.md
R-PMH69	f9e19946	acaf24b5	N	fenced	features/power_moding/RULINGS.md
R-PMH70	12e4fe64	63405681	N	fenced	features/power_moding/RULINGS.md
R-PMH71	6276e9b3	19fafeda	N	fenced	features/power_moding/RULINGS.md
R-PMH72	8d65cbbc	0c4232af	N	fenced	features/power_moding/RULINGS.md
R-PMH73	52c3b28f	20e0ae86	N	fenced	features/power_moding/RULINGS.md
R-PMH74	882eeeff	d7fba3b8	N	fenced	features/power_moding/RULINGS.md
R-PMH75	69d33efe	0ade6f67	N	fenced	features/power_moding/RULINGS.md
R-PMH76	8893ec6e	71bb5693	N	fenced	features/power_moding/RULINGS.md
R-PMH77	4eaf41f4	203077bc	N	fenced	features/power_moding/RULINGS.md
