lid	sheet	row	function	atlantis_high_signal	atlantis_high_can	atlantis_high_format	atlantis_signal	atlantis_can	atlantis_format	usage_comment	group_label_at_15	flags
SRT_1000ftTm_B	CAN Mapping	0		IPC_SRT_FD_2.SRT_1000ftTm_B	FD						Atlantis	
SRT_1000ftTm_C	CAN Mapping	0		IPC_SRT_FD_2.SRT_1000ftTm_C	FD						Atlantis	
SRT_1000ftTm_L	CAN Mapping	0		IPC_SRT_FD_2.SRT_1000ftTm_L	FD						Atlantis	
SRT_1000ftTmB	CAN Mapping	0		IPC_SRT_FD_2.SRT_1000ftTmB	FD	See dbc					Atlantis	
SRT_1000ftTmC	CAN Mapping	0		IPC_SRT_FD_2.SRT_1000ftTmC	FD	See dbc					Atlantis	
SRT_1000ftTmL	CAN Mapping	0		IPC_SRT_FD_2.SRT_1000ftTmL	FD	See dbc					Atlantis	
SRT_100mphTm_B	CAN Mapping	0		IPC_SRT_FD_1.SRT_100mphTm_B	FD						Atlantis	
SRT_100mphTm_C	CAN Mapping	0		IPC_SRT_FD_1.SRT_100mphTm_C	FD						Atlantis	
SRT_100mphTm_L	CAN Mapping	0		IPC_SRT_FD_1.SRT_100mphTm_L	FD						Atlantis	
SRT_100mphTmB	CAN Mapping	0		IPC_SRT_FD_1.SRT_100mphTmB	FD	See dbc					Atlantis	
SRT_100mphTmC	CAN Mapping	0		IPC_SRT_FD_1.SRT_100mphTmC	FD	See dbc					Atlantis	
SRT_100mphTmL	CAN Mapping	0		IPC_SRT_FD_1.SRT_100mphTmL	FD	See dbc					Atlantis	
SRT_330ftTm_B	CAN Mapping	0		IPC_SRT_FD_2.SRT_330ftTm_B	FD						Atlantis	
SRT_330ftTm_C	CAN Mapping	0		IPC_SRT_FD_2.SRT_330ftTm_C	FD						Atlantis	
SRT_330ftTm_L	CAN Mapping	0		IPC_SRT_FD_2.SRT_330ftTm_L	FD						Atlantis	
SRT_330ftTmB	CAN Mapping	0		IPC_SRT_FD_2.SRT_330ftTmB	FD	See dbc					Atlantis	
SRT_330ftTmC	CAN Mapping	0		IPC_SRT_FD_2.SRT_330ftTmC	FD	See dbc					Atlantis	
SRT_330ftTmL	CAN Mapping	0		IPC_SRT_FD_2.SRT_330ftTmL	FD	See dbc					Atlantis	
SRT_60ftTm_B	CAN Mapping	0		IPC_SRT_FD_2.SRT_60ftTm_B	FD						Atlantis	
SRT_60ftTm_C	CAN Mapping	0		IPC_SRT_FD_2.SRT_60ftTm_C	FD						Atlantis	
SRT_60ftTm_L	CAN Mapping	0		IPC_SRT_FD_2.SRT_60ftTm_L	FD						Atlantis	
SRT_60ftTmB	CAN Mapping	0		IPC_SRT_FD_2.SRT_60ftTmB	FD	See dbc					Atlantis	
SRT_60ftTmC	CAN Mapping	0		IPC_SRT_FD_2.SRT_60ftTmC	FD	See dbc					Atlantis	
SRT_60ftTmL	CAN Mapping	0		IPC_SRT_FD_2.SRT_60ftTmL	FD	See dbc					Atlantis	
SRT_60mphTm_B	CAN Mapping	0		IPC_SRT_FD_1.SRT_60mphTm_B	FD						Atlantis	
SRT_60mphTm_C	CAN Mapping	0		IPC_SRT_FD_1.SRT_60mphTm_C	FD						Atlantis	
SRT_60mphTm_L	CAN Mapping	0		IPC_SRT_FD_1.SRT_60mphTm_L	FD						Atlantis	
SRT_60mphTmB	CAN Mapping	0		IPC_SRT_FD_1.SRT_60mphTmB	FD	See dbc					Atlantis	
SRT_60mphTmC	CAN Mapping	0		IPC_SRT_FD_1.SRT_60mphTmC	FD	See dbc					Atlantis	
SRT_60mphTmL	CAN Mapping	0		IPC_SRT_FD_1.SRT_60mphTmL	FD	See dbc					Atlantis	
SRT_BrkDistB_M	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkDistB_M	FD						Atlantis	
SRT_BrkDistB_US	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkDistB_US	FD						Atlantis	
SRT_BrkDistC_M	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkDistC_M	FD						Atlantis	
SRT_BrkDistC_US	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkDistC_US	FD						Atlantis	
SRT_BrkDistL_M	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkDistL_M	FD						Atlantis	
SRT_BrkDistL_US	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkDistL_US	FD						Atlantis	
SRT_BrkSpdB_M	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkSpdB_M	FD						Atlantis	
SRT_BrkSpdB_US	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkSpdB_US	FD						Atlantis	
SRT_BrkSpdC_M	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkSpdC_M	FD						Atlantis	
SRT_BrkSpdC_US	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkSpdC_US	FD						Atlantis	
SRT_BrkSpdL_M	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkSpdL_M	FD						Atlantis	
SRT_BrkSpdL_US	CAN Mapping	0		IPC_SRT_FD_2.SRT_BrkSpdL_US	FD						Atlantis	
SRT_BrkTm_B	CAN Mapping	0		IPC_SRT_FD_1.SRT_BrkTm_B	FD						Atlantis	
SRT_BrkTm_C	CAN Mapping	0		IPC_SRT_FD_1.SRT_BrkTm_C	FD						Atlantis	
SRT_BrkTm_L	CAN Mapping	0		IPC_SRT_FD_1.SRT_BrkTm_L	FD						Atlantis	
SRT_eighthTm_B	CAN Mapping	0		IPC_SRT_FD_1.SRT_eighthTm_B	FD						Atlantis	
SRT_eighthTm_C	CAN Mapping	0		IPC_SRT_FD_1.SRT_eighthTm_C	FD						Atlantis	
SRT_eighthTm_L	CAN Mapping	0		IPC_SRT_FD_1.SRT_eighthTm_L	FD						Atlantis	
SRT_eighthTmB	CAN Mapping	0		IPC_SRT_FD_1.SRT_eighthTmB	FD	See dbc					Atlantis	
SRT_eighthTmC	CAN Mapping	0		IPC_SRT_FD_1.SRT_eighthTmC	FD	See dbc					Atlantis	
SRT_eighthTmL	CAN Mapping	0		IPC_SRT_FD_1.SRT_eighthTmL	FD	See dbc					Atlantis	
SRT_EthSpdB_M	CAN Mapping	0		:IPC_SRT_FD_1.SRT_EthSpdB_M	FD						Atlantis	
SRT_EthSpdB_US	CAN Mapping	0		IPC_SRT_FD_1.SRT_EthSpdB_US	FD						Atlantis	
SRT_EthSpdC_M	CAN Mapping	0		IPC_SRT_FD_1.SRT_EthSpdC_M	FD						Atlantis	
SRT_EthSpdC_US	CAN Mapping	0		IPC_SRT_FD_1.SRT_EthSpdC_US	FD						Atlantis	
SRT_EthSpdL_M	CAN Mapping	0		IPC_SRT_FD_1.SRT_EthSpdL_M	FD						Atlantis	
SRT_EthSpdL_US	CAN Mapping	0		IPC_SRT_FD_1.SRT_EthSpdL_US	FD						Atlantis	
SRT_HK_RQ	CAN Mapping	0	SRT Button Pressed	BCM_FD_12.SRT_HK_RQ	FD	0 = NOT_PSD 1 = ON 2 = OFF 3 = SNA	N/A				Atlantis	
SRT_QrtSpdB_M	CAN Mapping	0		IPC_SRT_FD_1.SRT_QrtSpdB_M	FD						Atlantis	
SRT_QrtSpdB_US	CAN Mapping	0		IPC_SRT_FD_1.SRT_QrtSpdB_US	FD						Atlantis	
SRT_QrtSpdC_M	CAN Mapping	0		IPC_SRT_FD_1.SRT_QrtSpdC_M	FD						Atlantis	
SRT_QrtSpdC_US	CAN Mapping	0		IPC_SRT_FD_1.SRT_QrtSpdC_US	FD						Atlantis	
SRT_QrtSpdL_M	CAN Mapping	0		IPC_SRT_FD_1.SRT_QrtSpdL_M	FD						Atlantis	
SRT_QrtSpdL_US	CAN Mapping	0		IPC_SRT_FD_1.SRT_QrtSpdL_US	FD						Atlantis	
SRT_quarterTm_B	CAN Mapping	0		IPC_SRT_FD_1.SRT_quarterTm_B	FD						Atlantis	
SRT_quarterTm_C	CAN Mapping	0		IPC_SRT_FD_1.SRT_quarterTm_C	FD						Atlantis	
SRT_quarterTm_L	CAN Mapping	0		IPC_SRT_FD_1.SRT_quarterTm_L	FD						Atlantis	
SRT_quarterTmB	CAN Mapping	0		IPC_SRT_FD_1.SRT_quarterTmB	FD	See dbc					Atlantis	
SRT_quarterTmC	CAN Mapping	0		IPC_SRT_FD_1.SRT_quarterTmC	FD	See dbc					Atlantis	
SRT_quarterTmL	CAN Mapping	0		IPC_SRT_FD_1.SRT_quarterTmL	FD	See dbc					Atlantis	
SRT_ReactTm_B	CAN Mapping	0		IPC_SRT_FD_1.SRT_ReactTm_B	FD						Atlantis	
SRT_ReactTm_C	CAN Mapping	0		IPC_SRT_FD_1.SRT_ReactTm_C	FD						Atlantis	
SRT_ReactTm_L	CAN Mapping	0		IPC_SRT_FD_1.SRT_ReactTm_L	FD						Atlantis	
SRT_ReactTmB	CAN Mapping	0		IPC_SRT_FD_1.SRT_ReactTmB	FD	See dbc					Atlantis	
SRT_ReactTmC	CAN Mapping	0		IPC_SRT_FD_1.SRT_ReactTmC	FD	See dbc					Atlantis	
SRT_ReactTmL	CAN Mapping	0		IPC_SRT_FD_1.SRT_ReactTmL	FD	See dbc					Atlantis	
SS_Stat_Left	CAN Mapping	0	Power Side Step Left Status	PSSM_A1.SS_Stat_Left	CANB	0=Reserved 1=L_SS_RETRACTING 2=L_SS_DEPLOYING 3=L_SS_DEPLOYED 4=L_SS_IP_STATE 5=L_SS_RETRACTED 6=Reserved 7=SNA	N/A			Power Side Step is truck Only feature	Atlantis	
SSID number	CAN Mapping	0	Wi-Fi SSID number				WIFI_SSID.TotalFrameNumber		Atlantis 4 bit signal 0 = Frame1 1 = Frame2 2 = Frame3 3 = Frame4 4 = Frame5 5 = Frame6 6 = Frame7 7 = Frame8 8 = Frame9 9 = Frame10 10 = Frame11 11 = Frame12 12 = Frame13 13 = Frame14 14 = Frame15 15 = Frame16	CR11036	Atlantis	ATL_HIGH_EMPTY
SSIDAck	CAN Mapping	0	SSID acknowledge				HU_ACK.SSID			CR11036	Atlantis	ATL_HIGH_EMPTY
Start_Time_Hr1	CAN Mapping	0	Schedule 1 Start Time hour selection	CHARGE_SCHEDULE_HU1.Start_Time_Hr1	FD	5 bit signal Units are Hours Offset = 0 Factor = 1 Range is 0 - 23 SNA = 31	HU_Schedule1.Start_Time_Hr1		See dbc		Atlantis	
Start_Time_Hr1_Sts	CAN Mapping	0	Schedule 1 Start Time hour Status	CHARGE_SCHEDULE_HCP1.Start_Time_Hr1_Sts	FD	5 bit signal Units are Hours Offset = 0 Factor = 1 Range is 0 - 23 SNA = 31	HCP_Schedule1.Start_Time_Hr1_Sts		See dbc		Atlantis	
Start_Time_Hr2	CAN Mapping	0	Schedule 2 Start Time hour selection	CHARGE_SCHEDULE_HU1.Start_Time_Hr2	FD	5 bit signal Units are Hours Offset = 0 Factor = 1 Range is 0 - 23 SNA = 31	HU_Schedule2.Start_Time_Hr2		See dbc		Atlantis	
Start_Time_Hr2_Sts	CAN Mapping	0	Schedule 2 Start Time hour Status	CHARGE_SCHEDULE_HCP1.Start_Time_Hr2_Sts	FD	5 bit signal Units are Hours Offset = 0 Factor = 1 Range is 0 - 23 SNA = 31	HCP_Schedule2.Start_Time_Hr2_Sts		See dbc		Atlantis	
Start_Time_Hr3	CAN Mapping	0	Schedule 3 Start Time hour selection	CHARGE_SCHEDULE_HU1.Start_Time_Hr3	FD	5 bit signal Units are Hours Offset = 0 Factor = 1 Range is 0 - 23 SNA = 31	HU_Schedule3.Start_Time_Hr3		See dbc		Atlantis	
Start_Time_Hr3_Sts	CAN Mapping	0	Schedule 3 Start Time hour Status	CHARGE_SCHEDULE_HCP1.Start_Time_Hr3_Sts	FD	5 bit signal Units are Hours Offset = 0 Factor = 1 Range is 0 - 23 SNA = 31	Start_Time_Hr3_Sts		See dbc		Atlantis	
Start_Time_Min1	CAN Mapping	0	Schedule 1 Start time minute selection	CHARGE_SCHEDULE_HU1.Start_Time_Min1	FD	4 bit signal Units are Min Offset = 0 Factor = 5 Range is 0 - 55 SNA = 15	HU_Schedule1.Start_Time_Min1		See dbc		Atlantis	
Start_Time_Min1_Sts	CAN Mapping	0	Schedule 1 Start time minute Status	CHARGE_SCHEDULE_HCP1.Start_Time_Min1_Sts	FD	4 bit signal Units are Min Offset = 0 Factor = 5 Range is 0 - 55 SNA = 15	HCP_Schedule1.Start_Time_Min1_Sts		See dbc		Atlantis	
Start_Time_Min2	CAN Mapping	0	Schedule 2 Start time minute selection	CHARGE_SCHEDULE_HU1.Start_Time_Min2	FD	4 bit signal Units are Min Offset = 0 Factor = 5 Range is 0 - 55 SNA = 15	HU_Schedule2.Start_Time_Min2		See dbc		Atlantis	
Start_Time_Min2_Sts	CAN Mapping	0	Schedule 2 Start time minute Status	CHARGE_SCHEDULE_HCP1.Start_Time_Min2_Sts	FD	4 bit signal Units are Min Offset = 0 Factor = 5 Range is 0 - 55 SNA = 15	HCP_Schedule2.Start_Time_Min2_Sts		See dbc		Atlantis	
Start_Time_Min3	CAN Mapping	0	Schedule 3 Start time minute selection	CHARGE_SCHEDULE_HU1.Start_Time_Min3	FD	4 bit signal Units are Min Offset = 0 Factor = 5 Range is 0 - 55 SNA = 15	HU_Schedule3.Start_Time_Min3		See dbc		Atlantis	
Start_Time_Min3_Sts	CAN Mapping	0	Schedule 3 Start time minute Status	CHARGE_SCHEDULE_HCP1.Start_Time_Min3_Sts	FD	4 bit signal Units are Min Offset = 0 Factor = 5 Range is 0 - 55 SNA = 15	Start_Time_Min3_Sts		See dbc		Atlantis	
Start_TPM_Programming	CAN Mapping	0		Radio_A4.Start_TPM_Programming			Radio_A4.Start_TPM_Programming				Atlantis	
StartType	CAN Mapping	0	StTyp	BODY4.StTypSts	CAN-B	ATLANTIS 3 bit signal 0 = ST_NOT_ACT 1 = NOR_ST 2 = TIP_ST 3 = REM_ST 7 = SNA	BODY4.StTypSts		ATLANTIS 3 bit signal 0 = ST_NOT_ACT 1 = NOR_ST 2 = TIP_ST 3 = REM_ST 7 = SNA		Atlantis	
SteeringWheelButtonGroups	CAN Mapping	0	Identifies the steering wheel commands configuration (position, number of switches, etc...).				Infotainment_Configuration_7.RRM_VPx_Steering_Wheel_Command_Type		0 = Absent 1 = Standard 6 Buttons 2 = Standard 8 Buttons 3 = Standrad 10 Buttons 4 = 14_LIN_button_EMEA 5 = 14_LIN_button_NAFTA # = Not Used	Should be in PROXI	Atlantis	ATL_HIGH_EMPTY|TRUNCATED_ENUM
Stop_Start_Stat	CAN Mapping	0	Stop Start Lamp	IPC_FD_3.STOP_START_STAT	FD	0 = Off 1 = On 2 = Blinking 3 = SNA					Atlantis	
Stop_TPM_Programming	CAN Mapping	0		Radio_A4.Stop_TPM_Programming			Radio_A4.Stop_TPM_Programming				Atlantis	
StopStartSK_RQ	CAN Mapping	0					STATUS_TELEMATIC.StpStDeactBtn			Atlantis for M240	Atlantis	ATL_HIGH_EMPTY
STR_DIR_LT_STAT	CAN Mapping	0									Atlantis	
Stub_CmplxInsct	CAN Mapping	0	Indicates the Stub Complex Intersection.				STUB.ADAS_Stub_CmplxInsct	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_CycCnt	CAN Mapping	0	Indicates the Stub Cyclic Counter.				STUB.ADAS_Stub_CycCnt	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_FormOfWay	CAN Mapping	0	Indicates the Stub Form Of Way.				STUB.ADAS_Stub_FormOfWay	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_FuncRoadClass	CAN Mapping	0	Indicates the Stub Functional Road Class.				STUB.ADAS_Stub_FuncRoadClass	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_LastStub	CAN Mapping	0	Indicates the Stub Last Stub.				STUB.ADAS_Stub_LastStub	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_MsgType	CAN Mapping	0	Indicates the Stub Message Type.				STUB.ADAS_Stub_MsgType	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_NumOfLaneDrvDir	CAN Mapping	0	Indicates the Stub number of lanes in driving direction.				STUB.ADAS_Stub_NumOfLaneDrvDir	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_NumOfLaneOppDir	CAN Mapping	0	Indicates the Stub number of lanes in opposite direction.				STUB.ADAS_Stub_NumOfLaneOppDir	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_Offset	CAN Mapping	0	Indicates the Stub Offset.				STUB.ADAS_Stub_Offset	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_PartOfCalcRoute	CAN Mapping	0	Indicates the Stub Part Of Calculated Route.				STUB.ADAS_Stub_PartOfCalcRoute	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_PathIdx	CAN Mapping	0	Indicates the Stub Path Index.				STUB.ADAS_Stub_PathIdx	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_RelProbb	CAN Mapping	0	Indicates the Stub Relative Probability.				STUB.ADAS_Stub_RelProbb	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_Retr	CAN Mapping	0	Indicates the Stub Retransmission.				STUB.ADAS_Stub_Retr	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_RtOfWay	CAN Mapping	0	Indicates the Stub Right Of Way.				STUB.ADAS_Stub_RtOfWay	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_SubPathIdx	CAN Mapping	0	Indicates the Stub Sub-Path Index.				STUB.ADAS_Stub_SubPathIdx	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_TurnAngl	CAN Mapping	0	Indicates the Stub Turn Angle.				STUB.ADAS_Stub_TurnAngl	CAN-B			Atlantis	ATL_HIGH_EMPTY
Stub_Update	CAN Mapping	0	Indicates the Stub Update.				STUB.ADAS_Stub_Update	CAN-B			Atlantis	ATL_HIGH_EMPTY
StWh_AudioPresetAdvance	CAN Mapping	0	Preset Advance	BCM_FD_10.Command_06Sts	CAN-FD	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_06Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWh_AudioPresetAdvance	CAN Mapping	0	Preset Advance	SWC.Command_06Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_06Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWh_AudioPresetAdvance StWhl_ModeAdvance	CAN Mapping	0	PNet or CUSW: Preset Advance orMode Advance Atlantis: Mode Advance	SWC.Command_09Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_09Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_AudioModeAdvance	CAN Mapping	0	Mode Advance(non ECE market)	BCM_FD_10.Command_09Sts	CAN-FD	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_09Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_AudioModeAdvance	CAN Mapping	0	Audio-mode advance	N/A			N/A			Brand Focus SW only	Atlantis	
StWhl_AudioPresetAdvance	CAN Mapping	0	Preset Configuration				SWS_IGWLIN.Command_06Sts			Brand Focus SW only As of V1.48, the Atl Lo signal is used on 281 MCA (MY24)	Atlantis	ATL_HIGH_EMPTY
StWhl_ModeAdvance	CAN Mapping	0	Mode Advance( ECE market)	BCM_FD_10.Command_09Sts	CAN-FD	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_09Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_Mute	CAN Mapping	0	Mute	BCM_FD_10.Command_03Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_03Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_PhoneAnswer	CAN Mapping	0	Phone Pick-Up	BCM_FD_14.Command_07Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_07Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_PhoneAnswer StWhl_VoiceRecognition	CAN Mapping	0	Cell Phone/Voice Recognition Request	N/A			N/A		ATLANTIS	Brand Focus SW only	Atlantis	
StWhl_PhoneAnswer+HangUp	CAN Mapping	0		BCM_FD_14.Command_07Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA				This LID is only for MASAH	Atlantis	
StWhl_PhoneAnswer+VR	CAN Mapping	0		BCM_FD_14.Command_07Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_07Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_PhoneAnswer+VR+HangUp	CAN Mapping	0					SWC.Command_07Sts				Atlantis	ATL_HIGH_EMPTY
StWhl_PhoneHangup	CAN Mapping	0	Phone Hang-Up	SWC.Command_08Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_08Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_SeekDown	CAN Mapping	0	Seek Down	SWC.Command_05Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_05Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_SeekUp	CAN Mapping	0	Seek Up	SWC.Command_04Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_04Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_SeekUp StWhl_SeekDown	CAN Mapping	0	Seek up/down	N/A			N/A		ATLANTIS	Brand Focus SW only	Atlantis	
StWhl_VoiceRecognition	CAN Mapping	0	VR Button	SWC.Command_10Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_10Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_VolumeDown	CAN Mapping	0	Volume Down	SWC.Command_02Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_02Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_VolumeUp	CAN Mapping	0	Volume Up	SWC.Command_01Sts	CAN-B	ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA	SWC.Command_01Sts		ATLANTIS 2 bit signal 0 = Not_Pressed 1 = Pressed 3 = SNA		Atlantis	
StWhl_VolumeUp StWhl_VolumeDown	CAN Mapping	0	Volume up/down	N/A			N/A		ATLANTIS	Brand Focus SW only	Atlantis	
StWhl_WeChat	CAN Mapping	0		BCM_FD_14.Command_08Sts			SWC.Command_08Sts				Atlantis	
SUB_LVLSts	CAN Mapping	0		RADIO_B7.SUB_LVLSts	CAN-B	"""0x0 LVL_N10 0x1 LVL_N9 0x2 LVL_N8 0x3 LVL_N7 0x4 LVL_N6 0x5 LVL_N5 0x6 LVL_N4 0x7 LVL_N3 0x8 LVL_N2 0x9 LVL_N1 0xA LVL_NTRL 0xB LVL_P1 0xC LVL_P2 0xD LVL_P3 0xE LVL_P4 0xF LVL_P5 0x10 LVL_P6 0x11 LVL_P7 0x12 LVL_P8 0x13 LVL_P9 0x14 LVL_P10"""					Atlantis	
Submit_ClimateSchd1	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.Submit_ClimateSchd1	FD	See dbc file					Atlantis	
Submit_ClimateSchd2	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.Submit_ClimateSchd2	FD	See dbc file					Atlantis	
Submit_Schedule1	CAN Mapping	0		CHARGE_SCHEDULE_HU1.Submit_Schedule1	FD	0 = No Change 1 = Change in schedule 1	HU_Schedule1.Submit_Schedule1		0 = No Change 1 = Change in schedule 1		Atlantis	
Submit_Schedule2	CAN Mapping	0		CHARGE_SCHEDULE_HU1.Submit_Schedule2	FD	0 = No Change 1 = Change in schedule 2	HU_Schedule2.Submit_Schedule2		0 = No Change 1 = Change in schedule 2		Atlantis	
Submit_Schedule3	CAN Mapping	0		CHARGE_SCHEDULE_HU1.Submit_Schedule3	FD	0 = No Change 1 = Change in schedule 3	HU_Schedule3.Submit_Schedule3		0 = No Change 1 = Change in schedule 3		Atlantis	
SumTorqueStatic	CAN Mapping	0		GW_B_7.SumTorqueStatic PT_TORQUE_FD_1.SumTorqueStatic	CAN-BH CAN-FD						Atlantis	
SumTorqueStatic_VDCM	CAN Mapping	0		GW_B_7.SumTorqueStatic_VDCM	CAN-BH						Atlantis	
SUN_SHD_RQ	CAN Mapping	0	Sun Shade Request							feature only on PNET vehicles	Atlantis	
Suppress_PopUp	CAN Mapping	0	Used to suppress pop-up on the Radio screen based on lower screen user request.	STATUS_CLIMATE2.Suppress_PopUp	CAN-B	0 = Not_Active 1 = Active					Atlantis	
Suppress_PopUp2	CAN Mapping	0	Used to suppress pop-up on the Radio screen based on lower screen user request.	STATUS_CLIMATE3.Suppress_PopUp2	CAN-B	0 = Not_Active 1 = Active					Atlantis	
SurrIntensity	CAN Mapping	0		RADIO_B7.SurrIntensity	CAN-BH	"""0x0 LVL_1 0x1 LVL_2 0x3 LVL_3 0x4 LVL_4 0x5 LVL_5"""					Atlantis	
SurroundOnOff	CAN Mapping	0	Driver Surround Sound On/Off	CTRL_AMP.DSS_ONSts	CAN-B	1 bit signal	CTRL_AMP.DSS_ONSts		1 bit signal 0 = Off 1 = On		Atlantis	
SVC_SoftBtn_Rq	CAN Mapping	0	SV Camera Softbutton Request							PNET only feature	Atlantis	
SwayBar_Sts	CAN Mapping	0	Swaybar Status	SWAY_FD_1.SwayBar_Sts	FD	0 = UNLOCKED 1 = LOCKED 2 = S_I_P 3 = SNA	SWAY_1.SwayBar_Sts				Atlantis	
SwaybarEVICDisplay	CAN Mapping	0	Sway bar EVIC display	SWAY_FD_1.SwayBarEVICDisplay	FD	0 = TM0 1 = TM1 2 = TM2 3 = TM3 4 = TM4 5 = TM5 6 = TM6 7 = TM7 8 = TM8 9 = TM9 10 = TM10 11 = TM11 12 = TM12 13 = TM13 14 = TM14 15 = SNA	SWAY_1.SwayBarEVICDisplay				Atlantis	
SWC_AUX_1	CAN Mapping	0		SWC_AUX_1			SWC_AUX_1			The message names, signal enumeration and VF number will be provided in the future releases	Atlantis	
SWC_AUX_2	CAN Mapping	0		SWC_AUX_2			SWC_AUX_2			The message names, signal enumeration and VF number will be provided in the future releases	Atlantis	
SWC_AUX_3	CAN Mapping	0		SWC_AUX_3			SWC_AUX_3			The message names, signal enumeration and VF number will be provided in the future releases	Atlantis	
SWC_AUX_4	CAN Mapping	0		SWC_AUX_4			SWC_AUX_4			The message names, signal enumeration and VF number will be provided in the future releases	Atlantis	
SYNC_STAT	CAN Mapping	0	Synchronization Status	STATUS_CLIMATE2.HVACSync_Sts	CAN-B	ATLANTIS 0 = OFF 1 = ON 2 = BLINK 3 = SNA	STATUS_CLIMATE2.HVACSync_Sts		ATLANTIS 0 = OFF 1 = ON 2 = BLINK 3 = SNA		Atlantis	
