lid	sheet	row	function	atlantis_high_signal	atlantis_high_can	atlantis_high_format	atlantis_signal	atlantis_can	atlantis_format	usage_comment	group_label_at_15	flags
AirSuspensionStatus	CAN Mapping	0	Air suspension status	ASCM_FD_2.ASCM_Stat	FD	4 bit sgnal 0 = NONE 1 = DUMP 2 = PARK 3 = AERO 4 = NVL 5 = OR1 6 = ORL2 7 = EEHNA 8 = RAISE 9 = LOWER 10 = SYSFAIL 11 = SRVS 12 = AERO2 15 = SNA	AIR_SUSP_2.ASCM_Stat		4 bit message No message / NO_MESS Trailer dump / DUMP Park mode / PARK Aero level / AERO Normal vehicle level / NVL Offroad Level 1 / OR1 Offroad Level 2 (high speed aero) / ORL2 Entry/Exit (Park) height unavailable / EEHNA Raising / RAISE Lowering / LOWER Raising/Lowering interrupted / RL_INT Service Air Suspension / SRVS Aero 2 level / AERO2 Signal not available / SNA		Atlantis	
AirSuspensionUp_Req	CAN Mapping	0	Air Suspension Up softkey	TELEMATIC_FD_11.HU_AirSusp_UpSw1	FD	ATLANTIS 1 bit signal 0 =Not_Pressed 1 = Pressed					Atlantis	
AllowClimateSchd1	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.AllowClimateSchd1	FD	See dbc file					Atlantis	
AllowClimateSchd2	CAN Mapping	0		CLIMATE_SCHEDULE_HU1.AllowClimateSchd2	FD	See dbc file					Atlantis	
AMB_TEMP_AVG	CAN Mapping	0	Average Ambient Temperature	"""BCM_FD_9.ExternalTemperature BCM_FD_10.ExternalTemperatureC BCM_FD_10.ExternalTemperatureF"""	FD	See dbc					Atlantis	
AmbientLightingIntensityZone1	CAN Mapping	0	Signals for corresponding zones representing brightness/intensity	RADIO_B9.IntelAmbLight_Intensity_Zone	CAN-BH	Level 0 - Level 100					Atlantis	
AmbientLightingIntensityZone2	CAN Mapping	0	Signals for corresponding zones representing brightness/intensity	RADIO_B9.IntelAmbLight_Intensity_Zone2	CAN-BH	Level 0 - Level 100					Atlantis	
AmbientLightingLevel	CAN Mapping	0		IPC_VEHICLE_SETUP.AmbientLightingLevel CENTERSTACK3.AmbDimmerPos (MASAH)			IPC_VEHICLE_SETUP.AmbientLightingLevel				Atlantis	
AmbientLightingLevel_Req	CAN Mapping	0		CENTERSTACK3.AmbDimmerPos (MASAH)							Atlantis	
AMPAudioStatus	CAN Mapping	0	AMP Audio Output Status	STATUS_AMP.AUDIOSts_AMP	CAN-B	0 = Initializaton 1 = Available 2 = Not_Available	STATUS_AMP.AUDIOSts_AMP		0 = Initializaton 1 = Available 2 = Not_Available		Atlantis	
AMPSurroundAvailable	CAN Mapping	0	Surround sound available for selected cabin mode	STATUS_AMP.SURR_AVAILSts	CAN-B	1 bit signal 0 = False 1 = True	STATUS_AMP.SURR_AVAILSts		1 bit signal 0 = False 1 = True		Atlantis	
AMPSurroundSTS	CAN Mapping	0	Driver Select Surround Status	STATUS_AMP.AMP_DSS_STATSts	CAN-B	2 bit signal 0 = CFG_ST 1 = CFG_VID_SURR 2 = CFG_AUD_SURR	STATUS_AMP.AMP_DSS_STATSts		2 bit signal 0 = CFG_ST 1 = CFG_VID_SURR 2 = CFG_AUD_SURR		Atlantis	
AntiTheftStatus	CAN Mapping	0	Anti-Theft Status	STATUS_TELEMATIC.AntitheftSts	CAN-B	2 bit signal 0 = Not_Successfully 1 = In_Progress 2 = Successfully	STATUS_TELEMATIC.AntitheftSts		2 bit signal 0 = Not_Successfully 1 = In_Progress 2 = Successfully		Atlantis	
AQS_Active	CAN Mapping	0	Air quality sensor is active				HVAC_A1.AQS_Active			Atlantis for M240	Atlantis	ATL_HIGH_EMPTY
ASBM4_Climate_btn_1	CAN Mapping	0	ASBM4 signal for Auto Eco pop-up	BCM_ASBM4.Climate_button_1	BH	See DBC					Atlantis	
ASBM4_Climate_btn_2	CAN Mapping	0	Front Recirc	BCM_ASBM4.Climate_button_2	BH	See DBC					Atlantis	
ASBM4_Climate_btn_3	CAN Mapping	0	Front A/C	BCM_ASBM4.Climate_button_3	BH	See DBC					Atlantis	
ASBM4_Climate_btn_4	CAN Mapping	0	Max Defrost	BCM_ASBM4.Climate_button_4	BH	See DBC					Atlantis	
ASBM4_Climate_btn_5	CAN Mapping	0	Rear Defrost	BCM_ASBM4.Climate_button_5	BH	See DBC					Atlantis	
ASBM4_Climate_btn_9	CAN Mapping	0	Front Climate Off	BCM_ASBM4.Climate_button_9	BH	See DBC					Atlantis	
ASBM4_Climate_btn_10	CAN Mapping	0	Front Left Temp UP ASBM4_Climate_btn_10 for temperature pop-up	BCM_ASBM4.Climate_button_10	BH	See DBC					Atlantis	
