lid	sheet	row	scope	message	signal	can	fmt
Schedule_Type3_Sts	CAN Mapping	1657	Atlantis(&High)		Schedule_Type3_Sts		See dbc
Schedule_Type3_Sts	CAN Mapping	1658	Atlantis High	CHARGE_SCHEDULE_HCP1	Schedule_Type3_Sts	FD	See dbc
SD_LO_Status	CAN Mapping	1659	Atlantis(&High)	NA	Present		NA
SDWChimeMode	CAN Mapping	1660	Atlantis High	IPC_VEHICLE_SETUP	Sdw	CAN-B	0 = Off\n1 = Sound\n2 = Sound_Display
SDWChimeRepRate	CAN Mapping	1661	Atlantis High	SDW_INFO	SDW_ChimeRepetitionRate_Left	CAN-B	0 - 15 Hz
SDWChimeRepRate	CAN Mapping	1662	Atlantis High	SDW_INFO	SDW_ChimeRepetitionRate_Right	CAN-B	0 - 15 Hz
SDWChimeRqLF	CAN Mapping	1663	Atlantis High	SDW_INFO	SDW_ChimeActivation_LHF	CAN-B	ATLANTIS\n0 = NotActive\n1 = Active
SDWChimeRqLR	CAN Mapping	1664	Atlantis High	SDW_INFO	SDW_ChimeActivation_LHR	CAN-B	ATLANTIS\n0 = NotActive\n1 = Active
SDWChimeRqRF	CAN Mapping	1665	Atlantis High	SDW_INFO	SDW_ChimeActivation_RHF	CAN-B	ATLANTIS\n0 = NotActive\n1 = Active
SDWChimeRqRR	CAN Mapping	1666	Atlantis High	SDW_INFO	SDW_ChimeActivation_RHR	CAN-B	ATLANTIS\n0 = NotActive\n1 = Active
SDWChimeType	CAN Mapping	1667	Atlantis High	SDW_INFO	SDW_ChimeType_Left	CAN-B	0 = Type 8\n1 = Type 6
SDWChimeType	CAN Mapping	1668	Atlantis High	SDW_INFO	SDW_ChimeType_Right	CAN-B	0 = Type 8\n1 = Type 6
SDWChimeVolume	CAN Mapping	1669	Atlantis High	IPC_VEHICLE_SETUP	SdwChimeVolume	CAN-B	0 = Low\n1 = Medium\n2 = High
SeatWheel_Comfort_Range_Impact	CAN Mapping	1671	Atlantis High		pending	FD	
Secure_Idle_Req	CAN Mapping	1672	Atlantis High	TELEMATIC_FD_19	Secure_Idle_Req	FD	0x0 NOT PRESSED\n0x1 PRESSED
Secure_Idle_Req	CAN Mapping	1673	Atlantis High		pending	FD	
Secure_Idle_Sts	CAN Mapping	1674	Atlantis High	TRANSM_FD_1	Secure_Idle_Sts	FD	0 - DISABLED\n1 - ENABLED\n2 - Unused\n3 - SNA
Secure_Idle_Sts	CAN Mapping	1674	Atlantis High	PT_SYSTEM_FD_1	Secure_Idle_Sts_EV		0 - DISABLED\n1 - ENABLED\n2 - Unused\n3 - SNA
Secure_Idle_Sts	CAN Mapping	1675	Atlantis High		pending	FD	
SelectedTPMTrailer_Number	CAN Mapping	1676	Atlantis High	Radio_A4	SelectedTPMTrailer_Number		
SelectSpeedStatus	CAN Mapping	1677	Atlantis High	BCM_FD_18	SelSpdSts	FD	
SelSpdLmp	CAN Mapping	1678	Atlantis High	BRAKE_FD_5	HDCUserFdBck	FD	Atlantis\n2 bit signal\n0 = On\n1 = Off\n2 = Blink\n3 = SNA
SelSpdLmp	CAN Mapping	1679	Atlantis High	BRAKE_FD_1	SelSpdLmp	FD	0 = OFF\n1 = CONT\n2 = BLINK\n3 = SNA
Service_ACC_Stat	CAN Mapping	1680	Atlantis High	IPC_FD_3	SERVICE_ACC_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
Service_Stat	CAN Mapping	1681	Atlantis High	IPC_FD_3	SERVICE_STAT	FD	0 = Off\n1 = On\n2 = Blinking\n3 = SNA
SFrameID	CAN Mapping	1683	Atlantis High		Removed		
SFrameID	CAN Mapping	1683	Atlantis High		with		
SFrameID	CAN Mapping	1683	Atlantis High		Multi		
SFrameID	CAN Mapping	1683	Atlantis High		Frame		
SHFT_PROG	CAN Mapping	1684	Atlantis High		DriveModeSts	Seed dbc	See dbc
ShiftLeverPosition	CAN Mapping	1685	Atlantis High	TRANSM_FD_4	ShiftLeverPosition	CAN-B	ATLANTIS\n4 bit signal\n0 = No_Selection_Active_Or_Available\n1 = P\n2 = R\n3 = N\n4 = D\n5 = L\n6 = TIP_Autostick\n7 = Plus\n8 = Minus\n9 = SNA
ShiftLeverPosition_PT	CAN Mapping	1686	Atlantis High	PT_SYSTEM_FD_1	ShiftLeverPosition_PT	CAN-B	ATLANTIS\n4 bit signal\n0 = No_Selection_Active_Or_Available\n1 = P\n2 = R\n3 = N\n4 = D\n\n
