name	kind	sources	seg1_atl_n	seg1_atlh_n	seg1_atl	seg1_atlh	seg1_other	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	seg3_side	result	note
TELEMATIC_VEHICLE_SETUP4.SignCaptureModeReq	CAN	037_desc;spec_paras	0	0				TELEMATIC_VEHICLE_SETUP4.SignCaptureModeReq					段3待ATL-Mi DBC	段1不適用(R-VL12(c))
TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req	CAN	037_desc;spec_paras	0	0				TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req				TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	段1不適用(R-VL12(c))
Server_App.GUI	GUI	diagram;spec_paras	0	0									未解得(止於段1)	
TLM_Display.GUI	GUI	spec_paras	0	0									未解得(止於段1)	
AudioRepetition.Info	Info	037_desc;spec_paras	0	0			PROXI/Format/r530cF/R4 R2′ 去 .Info 後綴+底線/大小寫 ; PROXI/Format/r582cF/R5 R2′ 去 .Info 後綴+去_Menu/_Setting						PROXI路徑(R-P375b/c)	
ClearPersonalData.Info	Info	spec_paras	0	0			HMI_Settings/Settings/r668cB/R4 R2′ 去 .Info 後綴+底線/大小寫						UI路徑(R-P375b)	
Day1_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Day2_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
EPB_MaintenanceMode_Active.Info	Info	037_desc	0	0									未解得(止於段1)	
FOTA_State.Info	Info	spec_paras	0	0									未解得(止於段1)	
GPS_Automatic_Time_Adj_Setup.Info	Info	spec_paras	0	0									未解得(止於段1)	
Hour1_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Hour2_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
InfoLTM_CmdIgnSts.Info	Info	spec_tables	0	0									未解得(止於段1)	
LTM_CmdIgnSts.Info	Info	spec_paras	0	0									未解得(止於段1)	
LTM_OperationalModeSts.Info	Info	spec_paras	0	0									未解得(止於段1)	
Minute1_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Minute2_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Month1_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Month2_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
NavigationRepetition.Info	Info	037_desc;spec_paras	0	0									未解得(止於段1)	
PhoneRepetition.Info	Info	spec_paras	0	0			PROXI/Format/r546cF/R4 R2′ 去 .Info 後綴+底線/大小寫 ; PROXI/Format/r581cF/R5 R2′ 去 .Info 後綴+去_Menu/_Setting						PROXI路徑(R-P375b/c)	
PrivacyMode.Info	Info	spec_paras	1	1	LID/CAN Mapping/r1398cA/Logical Identifier/R2′ 去 .Info 後綴	LID/CAN Mapping/r1398cA/Logical Identifier/R2′ 去 .Info 後綴		SERVICE_SETUP.PrivacyMode	TBM_SCHEDULE_FD_2.PrivacyMode	CAN-B	FD	SERVICE_SETUP.PrivacyMode->PDT27_E2A_R1_FDCAN8.dbc(BO_不符)	訊息名不符(R-13)	架構差異(Atlantis≠Atlantis High)
RestoreApp.Info	Info	spec_paras	0	0									未解得(止於段1)	
RestoreDefaultSetting.Info	Info	spec_paras	0	0									未解得(止於段1)	
ServiceMode_Popup_Trigger.Info	Info	037_desc	0	0									未解得(止於段1)	
TBM_CmdIgnSts.Info	Info	spec_paras	0	0									未解得(止於段1)	
TBM_OperationalModeSts.Info	Info	spec_paras	0	0									未解得(止於段1)	
TLM_ProfileLevel.Info	Info	037_desc;spec_paras	0	0									未解得(止於段1)	
TLM_SettingChange.Info	Info	037_desc;spec_paras	0	0									未解得(止於段1)	
TLM_Vehicle_Setup_Menu.Info	Info	037_desc;spec_paras	0	0									未解得(止於段1)	
Time_Date_Setting_Feedback.Info	Info	spec_paras	0	0									未解得(止於段1)	
Year1_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Year2_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Year3_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
Year4_Setting.Info	Info	spec_paras	0	0									未解得(止於段1)	
AHBM_Feature_Menu	PROXI	spec_paras	0	0			PROXI/Format/r587cF/R1 逐字						PROXI路徑(R-P375b/c)	
Auto_Close_Menu	PROXI	spec_paras	0	0			PROXI/Format/r480cF/R1 逐字						PROXI路徑(R-P375b/c)	
Auto_Door_Unlock_Menu	PROXI	spec_paras	0	0			PROXI/Format/r586cF/R1 逐字						PROXI路徑(R-P375b/c)	
Auto_Park_Brake_Menu	PROXI	spec_paras	0	0			HMI_Settings/Settings/r509cB/R5 R1 逐字+去_Menu/_Setting ; PROXI/Format/r578cF/R1 逐字						UI+PROXI 雙路徑	
Cluster_Display_Type	PROXI	spec_paras	3	3	LID/Proxi & Configuration/r39cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r39cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r39cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r39cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r39cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r39cP/Atlantis Signal Name/R1 逐字	PROXI/Format/r489cF/R1 逐字			PROXI			PROXI路徑(R-P375b/c)	
Cornering_Light	PROXI	spec_paras	0	0			PROXI/Format/r275cF/R1 逐字						PROXI路徑(R-P375b/c)	
Country_Code	PROXI	spec_paras	4	4	LID/CAN Mapping/r46cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r43cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r43cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r250cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r46cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r43cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r43cB/Function/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r250cP/Atlantis Signal Name/R1 逐字	PROXI/Format/r468cF/R1 逐字	Car_Configuration_16.Country_Code;META_DATA.ADAS_Meta_CountryCode	TELEMATIC_FD_11.CountryCode	PROXI	FD		B-1 衝突	架構差異(Atlantis≠Atlantis High)
DRL_Menù_Enable	PROXI	spec_paras	0	0									未解得(止於段1)	
Driver_Drowsy_Alert	PROXI	spec_paras	1	1	LID/Proxi & Configuration/r59cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r59cP/Atlantis Signal Name/R1 逐字	PROXI/Format/r707cF/R1 逐字			PROXI			PROXI路徑(R-P375b/c)	
EPB_Maintenance_Menu	PROXI	spec_paras	0	0			PROXI/Format/r585cF/R1 逐字						PROXI路徑(R-P375b/c)	
External_Temperature_Sensor	PROXI	spec_paras	0	0			PROXI/Format/r482cF/R1 逐字						PROXI路徑(R-P375b/c)	
Flash_Light_With_Lock_Menu	PROXI	spec_paras	0	0			PROXI/Format/r584cF/R1 逐字						PROXI路徑(R-P375b/c)	
Forward_Collision_Mitigation	PROXI	spec_paras	1	1	LID/Proxi & Configuration/r285cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r285cP/Atlantis Signal Name/R1 逐字	PROXI/Format/r403cF/R1 逐字			PROXI			PROXI路徑(R-P375b/c)	
